path	pages	pdf_title	pdf_author	pdf_subject	size_bytes	creator	file_title	file_author	
04-Recursos/livros/A arte de dar feedback (Um guia acima da média - HBR) - Motive sua equipe. Melhore a comunicação. Estabeleça objetivos claros. - Autor (Harvard Business Review).pdf	168	A arte de dar feedback (Um guia acima da média - HBR) 	Harvard Business Review 		1712652	calibre 3.46.0 [https://calibre-ebook.com]	A arte de dar feedback (Um guia acima da média - HBR) - Motive sua equipe. Melhore a comunicação. Estabeleça objetivos claros.	Harvard Business Review
04-Recursos/livros/A jornada do empreendedor - O herói da nossa Era - Autor (Casa do Código).pdf	229				9396280		A jornada do empreendedor - O herói da nossa Era	Casa do Código
04-Recursos/livros/A Regra é Não Ter Regras - A Netflix e a Cultura da Reinvenção - Autor (Reed Hastings).pdf	259	A Regra é não ter Regras 	Reed Hastings e Erin Meyer 		2520865	calibre 3.12.0 [https://calibre-ebook.com]	A Regra é Não Ter Regras - A Netflix e a Cultura da Reinvenção	Reed Hastings
04-Recursos/livros/A Startup Enxuta - Autor (Eric Ries).pdf	210	A Startup Enxuta 	Eric Ries 		1713785	calibre 2.20.0 [http://calibre-ebook.com]	A Startup Enxuta	Eric Ries
04-Recursos/livros/A Web Mobile - Programe para um Mundo de Muitos Dispositivos - Autor (Casa do Código).pdf	220				4558905		A Web Mobile - Programe para um Mundo de Muitos Dispositivos	Casa do Código
04-Recursos/livros/Agile - Desenvolvimento de Software com Entregas Frequentes e Foco no Valor de Negócio - Autor (Casa do Código).pdf	162				2052729		Agile - Desenvolvimento de Software com Entregas Frequentes e Foco no Valor de Negócio	Casa do Código
04-Recursos/livros/Agile Estimating and Planning - Autor (Mike Cohn).pdf	312	AEP2.book 	Mike 		2246034	FrameMaker 7.0	Agile Estimating and Planning	Mike Cohn
04-Recursos/livros/Agile Project Management with Scrum - Autor (Ken Schwaber).pdf	187				9629192	pdftk 1.12 - www.pdftk.com	Agile Project Management with Scrum	Ken Schwaber
04-Recursos/livros/Agile Retrospectives - Making Good Teams Great (Pragmatic Programmers) - Autor (Esther Derby).pdf	181	 		 	1375976		Agile Retrospectives - Making Good Teams Great (Pragmatic Programmers)	Esther Derby
04-Recursos/livros/Algoritmos - Teoria e Prática - Autor (Thomas Cormen).pdf	1042	Algoritmos 	Thomas Cormen 		66474989	calibre 2.70.0 [https://calibre-ebook.com]	Algoritmos - Teoria e Prática	Thomas Cormen
04-Recursos/livros/Amazon AWS - Descomplicando a computação na nuvem - Autor (Casa do Código).pdf	231				9270340		Amazon AWS - Descomplicando a computação na nuvem	Casa do Código
04-Recursos/livros/Aplicações web real time com Node-js - Autor (Casa do Código).pdf	144				2430778		Aplicações web real time com Node-js	Casa do Código
04-Recursos/livros/Apprenticeship Patterns - Guidance for the Aspiring Software Craftsman - Autor (Dave Hoover e Adewale Oshineye).pdf	165	Apprenticeship Patterns Guidance for the Aspiring Software Craftsman 	Dave Hoover, Adewale Oshineye 	O'Reilly Media, Inc. 	2899311		Apprenticeship Patterns - Guidance for the Aspiring Software Craftsman	Dave Hoover e Adewale Oshineye
04-Recursos/livros/Arquitetura Limpa - O Guia do Artesão para Estrutura e Design de Software - Autor (Robert C. Martin).pdf	489	Arquitetura Limpa (Robert C. Martin) 	Robert C. Martin 		6973658	calibre (4.13.0) [https://calibre-ebook.com]	Arquitetura Limpa - O Guia do Artesão para Estrutura e Design de Software	Robert C. Martin
04-Recursos/livros/AWS Certified Cloud Practitioner Exam - Autor (Jon Bonso and Adrian Formaran).pdf	196	 	Tutorials Dojo 		10638844	Canva	AWS Certified Cloud Practitioner Exam	Jon Bonso and Adrian Formaran
04-Recursos/livros/AWS Certified Developer Associate Exam - Autor (Jon Bonso and Adrian Formaran).pdf	385	 	Tutorials Dojo 		17815565	Adobe Acrobat Pro DC 20.13.20074	AWS Certified Developer Associate Exam	Jon Bonso and Adrian Formaran
04-Recursos/livros/AWS Certified DevOps Engineer - Professional Certification and Beyond - Autor (Adam Book).pdf	638				15438102	Adobe InDesign 16.2 (Windows)	AWS Certified DevOps Engineer - Professional Certification and Beyond	Adam Book
04-Recursos/livros/AWS Certified DevOps Professional Engineer - Autor (Jon Bonso and Kenneth Samonte).pdf	295	 	Tutorials Dojo 		11833130	Acrobat Pro DC 20.13.20074	AWS Certified DevOps Professional Engineer	Jon Bonso and Kenneth Samonte
04-Recursos/livros/AWS Certified Security Specialty Exam - Autor (Jon Bonso and Carlo Acebedo).pdf	307	 	Tutorials Dojo 		12452593	Acrobat Pro DC 20.13.20074	AWS Certified Security Specialty Exam	Jon Bonso and Carlo Acebedo
04-Recursos/livros/AWS Certified Solutions Architect Associate SAA-C03 - Autor (Jon Bonso).pdf	288	 			17180507	Adobe Acrobat Pro DC (32-bit) 22.2.20191	AWS Certified Solutions Architect Associate SAA-C03	Jon Bonso
04-Recursos/livros/AWS Certified Solutions Architect Professional - Autor (Jon Bonso and Adrian Formaran).pdf	238	 	Tutorials Dojo 		7611447	Canva	AWS Certified Solutions Architect Professional	Jon Bonso and Adrian Formaran
04-Recursos/livros/AWS Certified SysOps Administrator Associate Version 2 - Autor (Jon Bonso and Lervin John Obando).pdf	228	 	Tutorials Dojo 		20461293	Adobe Acrobat Pro DC (32-bit) 21.5.20060	AWS Certified SysOps Administrator Associate Version 2	Jon Bonso and Lervin John Obando
04-Recursos/livros/AWS For Beginners - The ultimate guide to the fundamentals of aws - Autor (Steve M Burnett).pdf	62	AWS FOR BEGINNERS THE ULTIMATE GUIDE TO THE FUNDAMENTALS OF AWS 	BURNETT, STEVE 		8300253	calibre (5.17.0) [https://calibre-ebook.com]	AWS For Beginners - The ultimate guide to the fundamentals of aws	Steve M Burnett
04-Recursos/livros/AWS for Non-Engineers - Autor (Hiroko Nishimura).pdf	174	AWS for Non-Engineers 	Hiroko Nishimura 		10923125	FrameMaker 16.0.4(Foxit Advanced PDF Editor)	AWS for Non-Engineers	Hiroko Nishimura
04-Recursos/livros/Azure - Coloque suas plataformas e serviços no cloud - Autor (Casa do Código).pdf	176	Azure Coloque suas plataformas e serviços no cloud 	Thiago Custódio 		8916850	undefined	Azure - Coloque suas plataformas e serviços no cloud	Casa do Código
04-Recursos/livros/BDD in Action - Behavior-Driven Development for the Whole Software Lifecycle - Autor (John Ferguson Smart).pdf	385	BDD in Action 	John Ferguson Smart 	Behavior-Driven Development for the whole software lifecycle 	13230774	FrameMaker 8.0	BDD in Action - Behavior-Driven Development for the Whole Software Lifecycle	John Ferguson Smart
04-Recursos/livros/Big Data - Técnicas e tecnologias para extração de valor dos dados - Autor (Casa do Código).pdf	263	Big Data técnicas e tecnologias para extração de valor dos dados 	Rosângela Fátima Pereira 		5386606	undefined	Big Data - Técnicas e tecnologias para extração de valor dos dados	Casa do Código
04-Recursos/livros/Business Intelligence - Implementar do jeito certo e a custo zero - Autor (Casa do Código).pdf	210				8160147		Business Intelligence - Implementar do jeito certo e a custo zero	Casa do Código
04-Recursos/livros/But How Do It Know - The Basic Principles of Computers for Everyone - Author (J. Clark Scott).pdf	266	But How Do It Know? - The Basic Principles of Computers for Everyone 	Scott, J Clark 		2505559	calibre (0.9.42) [http://calibre-ebook.com]	But How Do It Know - The Basic Principles of Computers for Everyone - Author (J. Clark Scott)$	J. Clark Scott
04-Recursos/livros/Caixa de Ferramentas DevOps - Um Guia para Construção, Administração e Arquitetura de Sistemas Modernos - Autor (Casa do Código).pdf	175				1823170		Caixa de Ferramentas DevOps - Um Guia para Construção, Administração e Arquitetura de Sistemas Modernos	Casa do Código
04-Recursos/livros/Canivete suico do desenvolvedor Node - Autor (Casa do Código).pdf	93				1548722		Canivete suico do desenvolvedor Node	Casa do Código
04-Recursos/livros/Clean Agile - Back to Basics - Autor (Robert Martin).pdf	235				2839427		Clean Agile - Back to Basics	Robert Martin
04-Recursos/livros/Clean Coder, The - A Code of Conduct for Professional Programmers - Autor (Robert C. Martin).pdf	247	The Clean Coder 	Robert C. Martin 		4361807	Acrobat pictwpstops filter 1.0	Clean Coder, The - A Code of Conduct for Professional Programmers	Robert C. Martin
